NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
48,19200,5,15.583958625793457,19200,48,192,1232.0361251615188,12.32036125161519,32.0,32.0,400.0,0.0,400.0,400,400,-1926.163301296825,101.39698470574803,-1925.9838727465524,-2108.3069596974005,-1735.6116674352088,400.0,0.0,400.0,400,400,-445.4002280856346,20.97427075827799,-443.88037060891463,-487.73973765593377,-409.50237375676124,3068.1105995178223,93.11547964835731,3089.5067138671875,2851.619873046875,3211.0078125,3086947.3797766888,539228.7523781894,3261494.0045236293,2088517.9215314554,3744509.3307480686,2.8123605884611607,0.017832431840972492,2.813275933265686,2.7787580490112305,2.838773250579834,16.656089703241985,0.2931047352792668,16.668946266174316,16.1071720123291,17.0948543548584
48,38400,11,31.779844522476196,38400,96,384,1185.48624771014,11.854862477101403,32.0,32.0,400.0,0.0,400.0,400,400,-1929.6254364118493,127.77565800131127,-1927.794330999561,-2712.088432383592,-1606.9724778977732,400.0,0.0,400.0,400,400,-446.25296507373906,22.158760896176783,-448.1692276342333,-530.5479150223399,-386.36288659092156,3053.4271392822266,158.6967849614808,3019.9071044921875,2806.655517578125,3360.27294921875,3755379.591167761,176708.10340187498,3818162.027412611,3432117.8756656577,3984661.2843060233,2.7604790702462196,0.008601704881926821,2.759308934211731,2.749443769454956,2.7784652709960938,15.815823748707771,0.1359966044030075,15.79901123046875,15.641550064086914,16.102445602416992
48,40000,17,48.138482332229614,57600,144,576,1173.691857677324,11.73691857677324,32.0,32.0,400.0,0.0,400.0,400,400,-1939.411431016589,163.04290788759965,-1943.2478725724463,-2724.604795622477,-1606.9724778977732,400.0,0.0,400.0,400,400,-446.53613699353554,25.074265941433037,-448.4772468574392,-530.5479150223399,-386.36288659092156,3083.6382751464844,191.05889991846897,3082.33740234375,2812.20751953125,3425.01171875,3906567.4487840584,153896.16733922545,3893767.609541991,3699054.9354807665,4543466.761996912,2.7446208546559014,0.008419037055267161,2.7415878772735596,2.7355520725250244,2.7599422931671143,15.570274457335472,0.12867195212895854,15.52129077911377,15.4324951171875,15.805136680603027
48,40000,23,64.37499213218689,76800,192,768,1182.520149746131,11.82520149746131,32.0,32.0,400.0,0.0,400.0,400,400,-1932.3731447669647,163.12395709563143,-1925.4860233078584,-2724.604795622477,-1641.8582735709692,400.0,0.0,400.0,400,400,-443.4822209880027,25.892765002713368,-440.9617146331915,-521.100244755356,-376.89873453460797,2909.561491648356,143.9834176310875,2896.945068359375,2713.954833984375,3134.949462890625,3817312.7974080215,122100.04875855093,3780037.243893397,3703090.6238481263,4483521.113075769,2.7399099307755628,0.00319174380326635,2.7397401332855225,2.733612060546875,2.7496275901794434,15.491789216796557,0.04859933704073883,15.489473819732666,15.395625114440918,15.639657974243164
48,40000,29,81.03623604774475,96000,240,960,1152.3749425498484,11.523749425498483,32.0,32.0,400.0,0.0,400.0,400,400,-1917.479990639467,148.2370287819586,-1906.0708615058284,-2686.7349275601555,-1644.4067897422926,400.0,0.0,400.0,400,400,-441.9435059783804,23.621943279542137,-440.30814155066906,-515.1073574415877,-376.89873453460797,2831.996031443278,214.02077244268574,2772.8326416015625,2587.429443359375,3335.431396484375,3917279.9437906705,659309.5639378213,3757148.4590985,3628806.8492049137,8107400.422039766,2.7404875780145326,0.006412469672641387,2.739017367362976,2.7319979667663574,2.751955509185791,15.50156962374846,0.09814735996828979,15.47971773147583,15.371776580810547,15.677131652832031
48,40000,35,97.36294198036194,115200,288,1152,1175.98737180919,11.759873718091901,32.0,32.0,400.0,0.0,400.0,400,400,-1932.7265334761296,184.28932599614745,-1899.9612859587824,-2758.1200094542774,-1633.1360106336456,400.0,0.0,400.0,400,400,-443.5942362309426,26.201599392811605,-442.01876741071345,-537.5431863259057,-376.89873453460797,2945.6981569925942,297.27943783268717,2927.3004150390625,2608.8203125,3360.86083984375,3857435.184108456,257438.94881216358,3798010.3274421594,3625015.56864266,5040337.4213991705,2.718724270661672,0.013215407822297935,2.713729739189148,2.6988861560821533,2.738239049911499,15.163702716430029,0.20204683913613197,15.086048603057861,14.863289833068848,15.465947151184082
48,40000,41,113.59999132156372,134400,336,1344,1182.4808557598997,11.824808557598997,32.0,32.0,400.0,0.0,400.0,400,400,-1951.5677253786423,190.9344010788476,-1941.8828472586415,-2832.8168788350226,-1614.3249698333216,400.0,0.0,400.0,400,400,-446.729060660231,29.37808602061848,-447.5946948804932,-570.6919461557115,-338.02157742316103,2877.7309900919595,236.8917307071225,2840.5679931640625,2497.030517578125,3346.940673828125,3807848.434813548,158030.23734126103,3802545.4924779423,3536386.8515373073,4610885.806565842,2.6869654804468155,0.006966494658152668,2.6868103742599487,2.676906108856201,2.6985342502593994,14.687546546260515,0.10235023905777531,14.68482494354248,14.540514945983887,14.858068466186523
48,40000,47,129.88913083076477,153600,384,1536,1178.699463477167,11.78699463477167,32.0,32.0,400.0,0.0,400.0,400,400,-1955.089761777528,161.72165129229714,-1948.3551004292858,-2832.8168788350226,-1614.3249698333216,400.0,0.0,400.0,400,400,-446.863417888755,29.1899923130992,-451.2735839978974,-570.6919461557115,-338.02157742316103,2856.247787475586,218.28760838566924,2780.3590087890625,2598.35595703125,3241.5888671875,3752683.10883655,81955.01307146088,3755419.2704174416,3627754.4819852007,3913135.520498376,2.6802784030636153,0.004792439152219389,2.6822248697280884,2.6707043647766113,2.688396692276001,14.592738792300224,0.06962533856608723,14.621761798858643,14.453535079956055,14.708243370056152
47,40000,53,146.18643927574158,172800,431,1728,1178.1086468862818,11.781086468862819,32.0,32.0,400.0,0.0,400.0,400,400,-1962.6226608477962,142.25143697282442,-1958.272182318265,-2673.524982388134,-1637.7510872069392,400.0,0.0,400.0,400,400,-448.2425173400845,24.789941844218827,-450.6380733137754,-501.0129348314392,-338.2558941684588,2796.4681650797525,191.11873285867551,2875.337890625,2494.562255859375,2996.916748046875,3740895.165261744,128023.02954213884,3763478.5425720266,3531558.8969232477,3900547.5967533216,2.682421211153269,0.003447774683166689,2.681706666946411,2.677098035812378,2.688659906387329,14.625783825914064,0.05022095693137362,14.615291595458984,14.551098823547363,14.715910911560059
48,40000,59,162.43667006492615,192000,479,1920,1181.5216810815182,11.815216810815182,32.0,32.0,400.0,0.0,400.0,400,400,-1966.8348128732728,154.43276405268787,-1961.8011538671876,-2791.267190600962,-1674.2115807939867,400.0,0.0,400.0,400,400,-450.3474749180903,25.72808479168062,-450.967581005777,-561.2117354348192,-357.76983483333066,2773.3327967325845,357.52031894511384,2651.8077392578125,2377.865478515625,3571.83349609375,3853513.6581441443,1117050.1000531837,3646077.539111969,3448812.789843452,13065408.58606827,2.667271714657545,0.004928704715194782,2.6683777570724487,2.6542088985443115,2.676988124847412,14.410958126187325,0.06999505351297478,14.424575328826904,14.223991394042969,14.549633979797363
